ao_hechos;mes_hechos;fecha_hechos;delito;categoria_delito;fiscalia;agencia;unidad_investigacion;alcaldia_hechos;colonia_hechos;ao_inicio;mes_inicio;fecha_inicio;calle_hechos;calle_hechos2;longitud;latitud;geopoint
2018;Febrero;2018-02-02 11:00;FRAUDE;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN GUSTAVO A. MADERO;GAM-4;UI-3CD;GUSTAVO A MADERO;VILLA GUSTAVO A. MADERO;2019;Mayo;2019-05-09 11:52;GARRIDO;GUADALUPE VICTORIA;-99.117747220647;19.4827343023043;19.4827343023,-99.1177472206
2019;Mayo;2019-05-09 08:35;ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA;ROBO DE VEHÍCULO CON Y SIN VIOLENCIA;INVESTIGACIÓN EN XOCHIMILCO;XO-2;UI-1SD;XOCHIMILCO;SAN LORENZO LA CEBADA;2019;Mayo;2019-05-09 12:00;PLAN DE DOLORES;NA;-99.1195245668311;19.2820670916495;19.2820670916,-99.1195245668
2015;Mayo;2015-05-21 12:00;FRAUDE;DELITO DE BAJO IMPACTO;INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS FINANCIEROS;T;UI-1SD;CUAUHTEMOC;DOCTORES;2019;Mayo;2019-05-09 12:03;DOCTOR NAVARRO;NA;-99.1465987999208;19.4203173982557;19.4203173983,-99.1465987999
2019;Mayo;2019-05-06 08:05;ROBO DE OBJETOS;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN MILPA ALTA;MIL-1;UI-2SD;TLAHUAC;LOS OLIVOS;2019;Mayo;2019-05-09 12:03;CISNES;ADALBERTO TEJEDA;-99.0576757001505;19.2979383016434;19.2979383016,-99.0576757002
2019;Mayo;2019-05-02 12:30;ROBO DE OBJETOS;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN CUAUHTEMOC;CUH-8;UI-3SD;CUAUHTEMOC;OBRERA;2019;Mayo;2019-05-09 12:05;JUAN A MATEOS;NA;-99.1425777003532;19.4109538012791;19.4109538013,-99.1425777004
2019;Mayo;2019-05-08 17:30;AMENAZAS;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN COYOACÁN;COY-4;UI-3CD;COYOACAN;PEDREGAL DE SANTA URSULA;2019;Mayo;2019-05-09 12:08;SAN RAUL;SAN GONZALO;-99.1521377947814;19.3136099412832;19.3136099413,-99.1521377948
2019;Febrero;2019-02-09 15:30;FALSIFICACION DE TITULOS AL PORTADOR Y DOCUMENTOS DE CREDITO PUBLICO;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN COYOACÁN;COY-1;UI-1SD;COYOACAN;DEL CARMEN;2019;Mayo;2019-05-09 12:15;AVENIDA CENTENARIO;CASI ESQUINA  RIO  CHURUBUSCO;-99.1635078003144;19.357855029246;19.3578550292,-99.1635078003
2019;Mayo;2019-05-09 11:00;LESIONES INTENCIONALES POR ARMA BLANCA;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN IZTAPALAPA;IZP-6;UI-3CD;IZTAPALAPA;SANTA MARIA AZTAHUACAN;2019;Mayo;2019-05-09 12:15;EJE 6;ESQUINA AVENIDA MEXICO;-99.0231740915786;19.3566230111922;19.3566230112,-99.0231740916
2019;Mayo;2019-05-08 20:30;ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO;DELITO DE BAJO IMPACTO;INVESTIGACIÓN EN CUAUHTEMOC;CUH-2;UI-3SD;AZCAPOTZALCO;SAN MARCOS;2019;Mayo;2019-05-09 12:25;TREBOL;NA;-99.1819415000033;19.486495698404;19.4864956984,-99.1819415
2019;Abril;2019-04-21 20:30;ROBO A NEGOCIO CON VIOLENCIA;ROBO A NEGOCIO CON VIOLENCIA;INVESTIGACIÓN EN CUAUHTEMOC;CUH-6;UI-3SD;CUAUHTEMOC;GUERRERO;2019;Mayo;2019-05-09 12:26;ESTRELLA;NA;-99.1462772481627;19.4499337127949;19.4499337128,-99.1462772482
